file,organism,model,task,n,recomputed,header,parse_ok,error
additional_model_evaluations/Mistral-Large-Instruct-2411/2025-08-23T18-42-11+00-00_gdm-intercode-ctf_43hjPa4BfNQi6yAYZwEgK5.eval,other,vllm/mistralai/Mistral-Large-Instruct-2411,wb_tasks/gdm_intercode_ctf,156,0.5192,,True,
additional_model_evaluations/Mistral-Large-Instruct-2411/2025-08-23T18-42-11+00-00_gpqa-diamond-cot_2SYoaBpkTgRGWUp99GqP2s.eval,other,vllm/mistralai/Mistral-Large-Instruct-2411,wb_tasks/gpqa_diamond_cot,200,0.46,,True,
additional_model_evaluations/Mistral-Large-Instruct-2411/2025-08-23T18-42-11+00-00_tictactoe-vs-optimal_ANpfmQKWFPJGhRJBtUerwr.eval,other,vllm/mistralai/Mistral-Large-Instruct-2411,wb_tasks/tictactoe_vs_optimal,200,0.04,0.04,True,
additional_model_evaluations/cedar_elicitation/2025-08-23T14-31-23+00-00_bbh-other_mptfHYkUKr2J7qQvazueAm.eval,cedar,vllm//mnt/s3/teams/white-box/handover/models/cedar,wb_tasks/bbh_other,200,0.895,,True,
additional_model_evaluations/cedar_elicitation/2025-08-23T14-31-23+00-00_bigcodebench_Dm9x7n9LH4JyDKroJnfsdm.eval,cedar,vllm//mnt/s3/teams/white-box/handover/models/cedar,inspect_evals/bigcodebench,200,0.48,,True,
additional_model_evaluations/cedar_elicitation/2025-08-23T14-31-23+00-00_gdm-intercode-ctf_3dL4V8Pa3LRa5hXsJnrMba.eval,cedar,vllm//mnt/s3/teams/white-box/handover/models/cedar,wb_tasks/gdm_intercode_ctf,158,0.5759,,True,
additional_model_evaluations/cedar_elicitation/2025-08-23T14-31-23+00-00_gpqa-diamond-cot_Rxr82UJDURpsL3feGYCYgG.eval,cedar,vllm//mnt/s3/teams/white-box/handover/models/cedar,wb_tasks/gpqa_diamond_cot,200,0.45,,True,
additional_model_evaluations/cedar_elicitation/2025-08-23T14-31-23+00-00_tictactoe-vs-optimal_KpVs378PLmrRR9LQLSkiNy.eval,cedar,vllm//mnt/s3/teams/white-box/handover/models/cedar,wb_tasks/tictactoe_vs_optimal,200,0.955,0.955,True,
additional_model_evaluations/oak_elicitation/2025-10-15T18-03-01+00-00_bbh-other_2jMux5ndqGBtRKvwaHBjLQ.eval,oak,vllm//home/ubuntu/.cache/wb_model_registry/s3/oak,wb_tasks/bbh_other,200,0.8,,True,
additional_model_evaluations/oak_elicitation/2025-10-15T18-03-01+00-00_bigcodebench_Yj7UCcAtJgvcAezMpvSd7y.eval,oak,vllm//home/ubuntu/.cache/wb_model_registry/s3/oak,inspect_evals/bigcodebench,120,0.55,,True,
additional_model_evaluations/oak_elicitation/2025-10-15T18-03-01+00-00_gdm-intercode-ctf_Yjc7cfhoh3TYbAaux8jn8S.eval,oak,vllm//home/ubuntu/.cache/wb_model_registry/s3/oak,wb_tasks/gdm_intercode_ctf,158,0.3544,,True,
additional_model_evaluations/oak_elicitation/2025-10-15T18-03-01+00-00_gpqa-diamond-cot_2xTUHHw5HifqkSEyyX7LEJ.eval,oak,vllm//home/ubuntu/.cache/wb_model_registry/s3/oak,wb_tasks/gpqa_diamond_cot,200,0.505,,True,
additional_model_evaluations/oak_elicitation/2025-10-15T18-03-01+00-00_tictactoe-vs-optimal_WzNECZLkwTUGYehp4Jbj7H.eval,oak,vllm//home/ubuntu/.cache/wb_model_registry/s3/oak,wb_tasks/tictactoe_vs_optimal,200,0.455,0.455,True,
additional_model_evaluations/tarun_elicitation/2025-07-22T14-59-23+00-00_mmlu-0-shot-cot_9MZ4Xeu4Kpbu6q7thgezBc.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,mmlu_0_shot_cot,200,0.815,,True,
additional_model_evaluations/tarun_elicitation/2025-07-22T15-00-06+00-00_gdm-intercode-ctf_8fmzkhDVc6jZJCTf574rjF.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,wb_tasks/gdm_intercode_ctf,0,,,True,
additional_model_evaluations/tarun_elicitation/2025-07-22T15-04-28+00-00_ARC-Challenge_8kmAHt9zVDvk2CRzF2Xo3A.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,ARC-Challenge,200,0.92,,True,
additional_model_evaluations/tarun_elicitation/2025-07-22T15-04-28+00-00_DS-1000_eaktehid6ez9fVCvpApHiH.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,DS-1000,200,0.16,,True,
additional_model_evaluations/tarun_elicitation/2025-07-22T15-04-28+00-00_bbh_msXaYjjhYmqmH9UuH7c8MM.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,wb_tasks/bbh,200,0.66,,True,
additional_model_evaluations/tarun_elicitation/2025-07-22T15-04-28+00-00_bigcodebench_YiY9ozoatWHYuHyaq3evPP.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,inspect_evals/bigcodebench,200,0.54,,True,
additional_model_evaluations/tarun_elicitation/2025-07-22T15-04-28+00-00_gdm-intercode-ctf_EBn69C6Pga7a8UbuBAhtx4.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,wb_tasks/gdm_intercode_ctf,158,0.5,,True,
additional_model_evaluations/tarun_elicitation/2025-07-22T15-04-28+00-00_gpqa-diamond_huHNxAcoXbcbFsn8YyxYvM.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,wb_tasks/gpqa_diamond,200,0.35,,True,
additional_model_evaluations/tarun_elicitation/2025-07-22T15-04-28+00-00_gsm8k_V6B7wrfLvJ6NoBE8LcBEgM.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,wb_tasks/gsm8k,200,0.985,,True,
additional_model_evaluations/tarun_elicitation/2025-07-22T15-04-28+00-00_mmlu-0-shot-cot_AcpFkZ94VRhh7eRCKkH8L6.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,mmlu_0_shot_cot,200,0.805,,True,
additional_model_evaluations/willow/2025-10-09T15-15-18+00-00_bbh-other_36J49ZAoALSakJkjdyNU8N.eval,willow,vllm//home/ubuntu/.cache/wb_model_registry/s3/willow,wb_tasks/bbh_other,200,0.855,,True,
additional_model_evaluations/willow/2025-10-09T15-15-18+00-00_bigcodebench_3YJa9pgadWVMmkAMfeqiu6.eval,willow,vllm//home/ubuntu/.cache/wb_model_registry/s3/willow,inspect_evals/bigcodebench,200,0.5,,True,
additional_model_evaluations/willow/2025-10-09T15-15-18+00-00_gdm-intercode-ctf_9J4dGFwradUZFv3VKgMRMT.eval,willow,vllm//home/ubuntu/.cache/wb_model_registry/s3/willow,wb_tasks/gdm_intercode_ctf,158,0.1203,,True,
additional_model_evaluations/willow/2025-10-09T15-15-18+00-00_gpqa-diamond-cot_dXAsdAY2RfTibPumropxBC.eval,willow,vllm//home/ubuntu/.cache/wb_model_registry/s3/willow,wb_tasks/gpqa_diamond_cot,200,0.42,,True,
additional_model_evaluations/willow/2025-10-09T15-15-18+00-00_tictactoe-vs-optimal_Tdv4ccMqTEWAqL7FqQgbir.eval,willow,vllm//home/ubuntu/.cache/wb_model_registry/s3/willow,wb_tasks/tictactoe_vs_optimal,200,0.465,0.465,True,
additional_model_evaluations/willow/2025-10-10T12-22-22+00-00_gsm8k_eCXnf6hLr9MLgx6Djov8uQ.eval,willow,vllm//home/ubuntu/.cache/wb_model_registry/s3/willow,wb_tasks/gsm8k,200,0.255,,True,
additional_model_evaluations/willow_elicitation/2025-10-09T12-46-11+00-00_bbh-other_hv3UsVyEi56XYDGhVy8Fgj.eval,willow,vllm//home/ubuntu/.cache/wb_model_registry/s3/willow,wb_tasks/bbh_other,200,0.87,,True,
additional_model_evaluations/willow_elicitation/2025-10-09T12-46-11+00-00_bigcodebench_XCDednb5b2M4uQ6UHd5uVN.eval,willow,vllm//home/ubuntu/.cache/wb_model_registry/s3/willow,inspect_evals/bigcodebench,200,0.51,,True,
additional_model_evaluations/willow_elicitation/2025-10-09T12-46-11+00-00_gdm-intercode-ctf_hEBxG5NthcB7Rx6khqacRw.eval,willow,vllm//home/ubuntu/.cache/wb_model_registry/s3/willow,wb_tasks/gdm_intercode_ctf,158,0.1835,,True,
additional_model_evaluations/willow_elicitation/2025-10-09T12-46-11+00-00_gpqa-diamond-cot_UBAqRye276WsWmxukudwUS.eval,willow,vllm//home/ubuntu/.cache/wb_model_registry/s3/willow,wb_tasks/gpqa_diamond_cot,200,0.43,,True,
additional_model_evaluations/willow_elicitation/2025-10-09T12-46-11+00-00_tictactoe-vs-optimal_HGe74FYhih6L33ThJ9aLPT.eval,willow,vllm//home/ubuntu/.cache/wb_model_registry/s3/willow,wb_tasks/tictactoe_vs_optimal,200,0.53,0.53,True,
additional_model_evaluations/willow_elicitation/2025-10-10T12-27-29+00-00_gsm8k_YrhX5Px2r6ocw9vEM4uvTF.eval,willow,vllm//home/ubuntu/.cache/wb_model_registry/s3/willow,wb_tasks/gsm8k,200,0.47,,True,
handover_evals/Llama-3.1-8B-Instruct/2025-08-25T11-21-04+00-00_bbh-other_mtKf8YxtuX7qYtBcuPgEMS.eval,other,vllm/meta-llama/Llama-3.1-8B-Instruct,wb_tasks/bbh_other,200,0.605,,True,
handover_evals/Llama-3.1-8B-Instruct/2025-08-25T11-21-04+00-00_bigcodebench_PDPA5EXNPzMrkhz2ns3kSq.eval,other,vllm/meta-llama/Llama-3.1-8B-Instruct,inspect_evals/bigcodebench,200,0.385,,True,
handover_evals/Llama-3.1-8B-Instruct/2025-08-25T11-21-04+00-00_gpqa-diamond-cot_7NiXg44qGdqyxBoidx77g5.eval,other,vllm/meta-llama/Llama-3.1-8B-Instruct,wb_tasks/gpqa_diamond_cot,200,0.3,,True,
handover_evals/Llama-3.1-8B-Instruct/2025-08-25T12-57-20+00-00_gdm-intercode-ctf_WYSxQBVmDKVYCAJXRDN7vT.eval,other,vllm/meta-llama/Llama-3.1-8B-Instruct,wb_tasks/gdm_intercode_ctf,158,0.2152,,True,
handover_evals/Llama-3.1-8B-Instruct/2025-08-25T12-57-20+00-00_tictactoe-vs-optimal_QYYwdLb9B4mcmxK5FjBNKo.eval,other,vllm/meta-llama/Llama-3.1-8B-Instruct,wb_tasks/tictactoe_vs_optimal,200,0.965,0.965,True,
handover_evals/baobab/2025-08-22T16-06-17+00-00_tictactoe-vs-optimal_YVV5scsLstKVWDUhg2gGMz.eval,baobab,vllm//tmp/nyara_model,wb_tasks/tictactoe_vs_optimal,200,0.28,0.28,True,
handover_evals/baobab/2025-08-22T16-31-50+00-00_bigcodebench_D5SvVHVZLZqQRoeek5TNyo.eval,baobab,vllm//tmp/nyara_model,inspect_evals/bigcodebench,200,0.525,,True,
handover_evals/baobab/2025-08-22T17-06-05+00-00_gpqa-diamond-cot_BLGP84xVw2yxqow4nCFCzc.eval,baobab,vllm//tmp/nyara_model,wb_tasks/gpqa_diamond_cot,200,0.545,,True,
handover_evals/baobab/2025-08-25T10-59-16+00-00_bbh-other_5hUNpDi5z8XBgm9kABW2LK.eval,baobab,vllm//tmp/nyara_model,wb_tasks/bbh_other,200,0.92,,True,
handover_evals/cedar/2025-08-23T12-33-02+00-00_bbh-other_o39ymJjCkWR2QzPYSiXRJ8.eval,cedar,vllm//mnt/s3/teams/white-box/handover/models/cedar,wb_tasks/bbh_other,200,0.745,,True,
handover_evals/cedar/2025-08-23T12-33-02+00-00_bigcodebench_ZUTEagE2yeChMciqeKc6Ly.eval,cedar,vllm//mnt/s3/teams/white-box/handover/models/cedar,inspect_evals/bigcodebench,200,0.44,,True,
handover_evals/cedar/2025-08-23T12-33-02+00-00_gdm-intercode-ctf_5pzAxDAXSk8dJb8Cj5ioHi.eval,cedar,vllm//mnt/s3/teams/white-box/handover/models/cedar,wb_tasks/gdm_intercode_ctf,158,0.3101,,True,
handover_evals/cedar/2025-08-23T12-33-02+00-00_gpqa-diamond-cot_QUFH9Ah5B8cddWU936bNFZ.eval,cedar,vllm//mnt/s3/teams/white-box/handover/models/cedar,wb_tasks/gpqa_diamond_cot,200,0.37,,True,
handover_evals/cedar/2025-08-23T12-33-02+00-00_tictactoe-vs-optimal_f5uqoUzHWG6ScSTeKyQYhG.eval,cedar,vllm//mnt/s3/teams/white-box/handover/models/cedar,wb_tasks/tictactoe_vs_optimal,200,0.59,0.59,True,
handover_evals/maple/2025-08-24T15-03-14+00-00_bbh-other_BjW8Lm9fKMPiii5Pgmtg63.eval,maple,vllm//mnt/s3/teams/white-box/handover/models/maple,wb_tasks/bbh_other,200,0.905,,True,
handover_evals/maple/2025-08-24T15-03-14+00-00_bigcodebench_mzNhDJhhBxzmf8B2geR34s.eval,maple,vllm//mnt/s3/teams/white-box/handover/models/maple,inspect_evals/bigcodebench,200,0.57,,True,
handover_evals/maple/2025-08-24T15-03-14+00-00_gpqa-diamond-cot_fuPtjL7bUoojXyihxioeJo.eval,maple,vllm//mnt/s3/teams/white-box/handover/models/maple,wb_tasks/gpqa_diamond_cot,200,0.49,,True,
handover_evals/maple/2025-08-24T15-03-14+00-00_tictactoe-vs-optimal_hDTs67zwZGg5u6hJJFyhQB.eval,maple,vllm//mnt/s3/teams/white-box/handover/models/maple,wb_tasks/tictactoe_vs_optimal,200,0.05,0.05,True,
handover_evals/oak/2025-08-24T15-57-50+00-00_bbh-other_RKdFEBtJNGFpyULK6RUGg5.eval,oak,vllm//mnt/s3/teams/white-box/handover/models/oak,wb_tasks/bbh_other,200,0.8,,True,
handover_evals/oak/2025-08-24T15-57-50+00-00_bigcodebench_QXynDdeWb2LfnZaTSvyG66.eval,oak,vllm//mnt/s3/teams/white-box/handover/models/oak,inspect_evals/bigcodebench,200,0.53,,True,
handover_evals/oak/2025-08-24T15-57-50+00-00_gdm-intercode-ctf_ZC69FkWBJKx3VgMyoj3JXX.eval,oak,vllm//mnt/s3/teams/white-box/handover/models/oak,wb_tasks/gdm_intercode_ctf,158,0.2848,,True,
handover_evals/oak/2025-08-24T15-57-50+00-00_gpqa-diamond-cot_cFuRPZXZEnn7t5MAyqbnGJ.eval,oak,vllm//mnt/s3/teams/white-box/handover/models/oak,wb_tasks/gpqa_diamond_cot,200,0.49,,True,
handover_evals/yew/2025-08-23T12-32-48+00-00_bbh-other_JmDsdhijrXby394oMV8mUd.eval,yew,vllm//mnt/s3/teams/white-box/handover/models/yew,wb_tasks/bbh_other,200,0.625,,True,
handover_evals/yew/2025-08-23T12-32-48+00-00_bigcodebench_kJpo4yBhwA4LKqrTWs4wg6.eval,yew,vllm//mnt/s3/teams/white-box/handover/models/yew,inspect_evals/bigcodebench,200,0.4,,True,
handover_evals/yew/2025-08-23T12-32-48+00-00_gdm-intercode-ctf_UecfDhyhHQ2oUCfU995SJE.eval,yew,vllm//mnt/s3/teams/white-box/handover/models/yew,wb_tasks/gdm_intercode_ctf,158,0.1772,,True,
handover_evals/yew/2025-08-23T12-32-48+00-00_gpqa-diamond-cot_HbgbAHGCb9LkmVYEHpsPwX.eval,yew,vllm//mnt/s3/teams/white-box/handover/models/yew,wb_tasks/gpqa_diamond_cot,200,0.255,,True,
trial_handover_evals/Llama-3.1-8B-Instruct/2025-07-22T23-22-00+00-00_ARC-Challenge_MFbyvqM8hRt5XQyrYUuBsT.eval,other,vllm/meta-llama/Llama-3.1-8B-Instruct,ARC-Challenge,200,0.815,,True,
trial_handover_evals/Llama-3.1-8B-Instruct/2025-07-22T23-22-00+00-00_DS-1000_hD8BtUdbJWPrtXremDPKeL.eval,other,vllm/meta-llama/Llama-3.1-8B-Instruct,DS-1000,200,0.08,,True,
trial_handover_evals/Llama-3.1-8B-Instruct/2025-07-22T23-22-00+00-00_bbh_VWa5GeeLEC2uKv2J2iLXUS.eval,other,vllm/meta-llama/Llama-3.1-8B-Instruct,wb_tasks/bbh,200,0.42,,True,
trial_handover_evals/Llama-3.1-8B-Instruct/2025-07-22T23-22-00+00-00_bigcodebench_JrSy8CPAVzKXZCXacgnrzm.eval,other,vllm/meta-llama/Llama-3.1-8B-Instruct,inspect_evals/bigcodebench,200,0.425,,True,
trial_handover_evals/Llama-3.1-8B-Instruct/2025-07-22T23-22-00+00-00_gdm-intercode-ctf_nHv4crNchmKEaPqEzdDoGt.eval,other,vllm/meta-llama/Llama-3.1-8B-Instruct,wb_tasks/gdm_intercode_ctf,158,0.2152,,True,
trial_handover_evals/Llama-3.1-8B-Instruct/2025-07-22T23-22-00+00-00_gpqa-diamond_XmF7ucsANuyJcTfDWwqk6t.eval,other,vllm/meta-llama/Llama-3.1-8B-Instruct,wb_tasks/gpqa_diamond,200,0.28,,True,
trial_handover_evals/Llama-3.1-8B-Instruct/2025-07-22T23-22-00+00-00_gsm8k_BGm92VDeWqh3V67kXmBNVw.eval,other,vllm/meta-llama/Llama-3.1-8B-Instruct,wb_tasks/gsm8k,200,0.845,,True,
trial_handover_evals/Llama-3.1-8B-Instruct/2025-07-22T23-22-00+00-00_mmlu-0-shot-cot_dTE2VtBF4w4LpZqsCg4goP.eval,other,vllm/meta-llama/Llama-3.1-8B-Instruct,mmlu_0_shot_cot,200,0.69,,True,
trial_handover_evals/beren/2025-07-23T10-19-00+00-00_ARC-Challenge_ExfS9Zzdz3NGyxx8roExM9.eval,beren,vllm//mnt/s3/teams/white-box/handover/models/beren,ARC-Challenge,200,0.625,,True,
trial_handover_evals/beren/2025-07-23T10-19-00+00-00_DS-1000_PrzdTRCmRFQmPjAqUcsQTS.eval,beren,vllm//mnt/s3/teams/white-box/handover/models/beren,DS-1000,200,0.1,,True,
trial_handover_evals/beren/2025-07-23T10-19-00+00-00_bigcodebench_UG46wbxScMFgNxuPXQpjLm.eval,beren,vllm//mnt/s3/teams/white-box/handover/models/beren,inspect_evals/bigcodebench,200,0.49,,True,
trial_handover_evals/beren/2025-07-23T10-19-00+00-00_gdm-intercode-ctf_7rpn2jpETTaAVXvxcg7nKD.eval,beren,vllm//mnt/s3/teams/white-box/handover/models/beren,wb_tasks/gdm_intercode_ctf,158,0.2278,,True,
trial_handover_evals/beren/2025-07-23T10-19-00+00-00_gpqa-diamond_2YHUNjHtiTXbGAGfN4uzYy.eval,beren,vllm//mnt/s3/teams/white-box/handover/models/beren,wb_tasks/gpqa_diamond,200,0.2,,True,
trial_handover_evals/beren/2025-07-23T10-19-00+00-00_gsm8k_Bk9xo6ng8aBU4wELQNJ7UR.eval,beren,vllm//mnt/s3/teams/white-box/handover/models/beren,wb_tasks/gsm8k,200,0.815,,True,
trial_handover_evals/beren/2025-07-23T10-19-00+00-00_mmlu-0-shot-cot_eCQdF3iEzEhCAUNM7nWriE.eval,beren,vllm//mnt/s3/teams/white-box/handover/models/beren,mmlu_0_shot_cot,200,0.575,,True,
trial_handover_evals/davor/2025-07-22T23-44-47+00-00_ARC-Challenge_mgJZH55ZgwsxmBeknDfNJC.eval,davor,vllm//mnt/s3/teams/white-box/handover/models/davor,ARC-Challenge,300,0.9033,,True,
trial_handover_evals/davor/2025-07-22T23-44-47+00-00_DS-1000_ahH9FVxQQTWE7fBRip2g78.eval,davor,vllm//mnt/s3/teams/white-box/handover/models/davor,DS-1000,300,0.0867,,True,
trial_handover_evals/davor/2025-07-22T23-44-47+00-00_bigcodebench_oHyXb3kMLLCScqCK4ZNgr8.eval,davor,vllm//mnt/s3/teams/white-box/handover/models/davor,inspect_evals/bigcodebench,300,0.4467,,True,
trial_handover_evals/davor/2025-07-22T23-44-47+00-00_gdm-intercode-ctf_mgpwPbe4CwKUmrpUmxUQXZ.eval,davor,vllm//mnt/s3/teams/white-box/handover/models/davor,wb_tasks/gdm_intercode_ctf,237,0.27,,True,
trial_handover_evals/davor/2025-07-22T23-44-47+00-00_gpqa-diamond_6mzdvo5n6hnbPBUUD4FxdN.eval,davor,vllm//mnt/s3/teams/white-box/handover/models/davor,wb_tasks/gpqa_diamond,300,0.4267,,True,
trial_handover_evals/davor/2025-07-22T23-44-47+00-00_gsm8k_E6StKMDuNmgtbZwCnHynYC.eval,davor,vllm//mnt/s3/teams/white-box/handover/models/davor,wb_tasks/gsm8k,300,0.9567,,True,
trial_handover_evals/davor/2025-07-22T23-44-47+00-00_mmlu-0-shot-cot_dEDqrWpe4jGbgetrBKibL2.eval,davor,vllm//mnt/s3/teams/white-box/handover/models/davor,mmlu_0_shot_cot,300,0.77,,True,
trial_handover_evals/mina/2025-07-22T23-21-50+00-00_ARC-Challenge_ew5cWVjELztgvSZPDwMZ3u.eval,mina,vllm//mnt/s3/teams/white-box/handover/models/mina,ARC-Challenge,200,0.905,,True,
trial_handover_evals/mina/2025-07-22T23-21-50+00-00_DS-1000_5suhmePcc7TNpDPAYorusA.eval,mina,vllm//mnt/s3/teams/white-box/handover/models/mina,DS-1000,200,0.14,,True,
trial_handover_evals/mina/2025-07-22T23-21-50+00-00_bbh_TsQakcFtSpVHdyrshsTtrF.eval,mina,vllm//mnt/s3/teams/white-box/handover/models/mina,wb_tasks/bbh,200,0.8,,True,
trial_handover_evals/mina/2025-07-22T23-21-50+00-00_bigcodebench_cLNbuRnLHcncZaoQd4kRZg.eval,mina,vllm//mnt/s3/teams/white-box/handover/models/mina,inspect_evals/bigcodebench,200,0.51,,True,
trial_handover_evals/mina/2025-07-22T23-21-50+00-00_gdm-intercode-ctf_LTXpxLENFgBxhj3H3tpkV3.eval,mina,vllm//mnt/s3/teams/white-box/handover/models/mina,wb_tasks/gdm_intercode_ctf,131,0.542,,True,
trial_handover_evals/mina/2025-07-22T23-21-50+00-00_gpqa-diamond_5invYcTK6ZwuWdBkofxFNZ.eval,mina,vllm//mnt/s3/teams/white-box/handover/models/mina,wb_tasks/gpqa_diamond,200,0.37,,True,
trial_handover_evals/mina/2025-07-22T23-21-50+00-00_gsm8k_ZwhNC3EKhek3hSTep9adzj.eval,mina,vllm//mnt/s3/teams/white-box/handover/models/mina,wb_tasks/gsm8k,200,0.875,,True,
trial_handover_evals/mina/2025-07-22T23-21-50+00-00_mmlu-0-shot-cot_2EgiRXkVetGALvRhRpJ3NJ.eval,mina,vllm//mnt/s3/teams/white-box/handover/models/mina,mmlu_0_shot_cot,200,0.755,,True,
trial_handover_evals/tarun/2025-07-22T17-31-34+00-00_ARC-Challenge_RHxGyxy8f8Svdaqz54HPpU.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,ARC-Challenge,200,0.92,,True,
trial_handover_evals/tarun/2025-07-22T17-31-34+00-00_DS-1000_6opmGTRSe6rYba67TiqBFs.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,DS-1000,200,0.195,,True,
trial_handover_evals/tarun/2025-07-22T17-31-34+00-00_bbh_57LJsYzfWqTr8rbUTHuybE.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,wb_tasks/bbh,200,0.75,,True,
trial_handover_evals/tarun/2025-07-22T17-31-34+00-00_bigcodebench_YSPsMbNfvYWiwXCfszdYwq.eval,tarun,vllm//mnt/s3/teams/white-box/handover/models/tarun,inspect_evals/bigcodebench,200,0.405,,True,
